isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true true EAST WEST 178 0
true true WEST SOUTH 177 10
true true SOUTH NORTH 177 10
true true NORTH SOUTH 176 20
true true SOUTH WEST 176 20
true true WEST WEST 175 30
true true WEST SOUTH 174 40
true true SOUTH WEST 174 40
true true WEST SOUTH 173 50
true true SOUTH SOUTH 172 60
true true SOUTH SOUTH 171 70
true true SOUTH EAST 171 70
true true EAST WEST 170 80
true true WEST EAST 170 80
true true EAST SOUTH 170 80
true true SOUTH SOUTH 170 80
true true SOUTH EAST 170 80
true true EAST EAST 169 90
true true EAST SOUTH 168 100
true true SOUTH WEST 167 110
true true WEST NORTH 167 110
true true NORTH WEST 167 110
true true WEST EAST 167 110
true true EAST SOUTH 167 110
true true SOUTH SOUTH 167 110
true true SOUTH EAST 166 120
true true EAST EAST 165 130
true true EAST WEST 164 140
true true WEST SOUTH 164 140
true true SOUTH SOUTH 164 140
true true SOUTH NORTH 164 140
true true NORTH EAST 164 140
true true EAST WEST 164 140
true true WEST WEST 164 140
true true WEST WEST 164 140
true true WEST SOUTH 163 150
true true SOUTH WEST 163 150
true true WEST SOUTH 162 160
true true SOUTH WEST 162 160
true true WEST NORTH 161 170
true true NORTH WEST 161 170
true true WEST EAST 160 180
true true EAST EAST 160 180
true true EAST WEST 160 180
true true WEST NORTH 160 180
true true NORTH SOUTH 160 180
true true SOUTH WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH NORTH 160 180
true true NORTH SOUTH 160 180
true true SOUTH EAST 160 180
true true EAST SOUTH 160 180
true true SOUTH SOUTH 160 180
true true SOUTH EAST 160 180
true true EAST WEST 160 180
true true WEST EAST 160 180
true true EAST NORTH 160 180
true true NORTH EAST 160 180
true true EAST WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH WEST 160 180
true true WEST NORTH 160 180
true true NORTH SOUTH 160 180
true true SOUTH NORTH 160 180
true true NORTH WEST 160 180
true true WEST NORTH 160 180
true true NORTH EAST 160 180
true true EAST NORTH 160 180
true true NORTH SOUTH 160 180
true true SOUTH WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH NORTH 160 180
true true NORTH NORTH 160 180
true true NORTH EAST 160 180
true true EAST NORTH 160 180
true true NORTH EAST 160 180
true true EAST WEST 160 180
true true WEST EAST 160 180
true true EAST NORTH 160 180
true true NORTH WEST 160 180
true true WEST EAST 160 180
true true EAST NORTH 160 180
true true NORTH WEST 160 180
true true WEST SOUTH 160 180
true true SOUTH NORTH 160 180
true true NORTH SOUTH 160 180
true true SOUTH EAST 160 180
true true EAST WEST 160 180
true true WEST WEST 160 180
true true WEST NORTH 160 180
true true NORTH WEST 160 180
true true WEST EAST 159 190
true true EAST NORTH 159 190
true true NORTH WEST 159 190
true true WEST NORTH 159 190
true true NORTH WEST 159 190
true true WEST EAST 158 200
true true EAST SOUTH 158 200
true true SOUTH WEST 158 200
true true WEST NORTH 158 200
true true NORTH EAST 158 200
true true EAST SOUTH 158 200
true true SOUTH SOUTH 158 200
true true SOUTH SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST EAST 158 200
true true EAST NORTH 158 200
true true NORTH WEST 158 200
true true WEST EAST 158 200
true true EAST EAST 158 200
true true EAST WEST 158 200
true true WEST EAST 158 200
true true EAST SOUTH 158 200
true true SOUTH WEST 158 200
true true WEST NORTH 158 200
true true NORTH WEST 158 200
true true WEST NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH WEST 158 200
true true WEST EAST 158 200
true true EAST NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH EAST 158 200
true true EAST NORTH 158 200
true true NORTH SOUTH 158 200
true true SOUTH WEST 158 200
true true WEST SOUTH 158 200
true true SOUTH NORTH 158 200
true true NORTH SOUTH 158 200
true true SOUTH WEST 158 200
true true WEST SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST NORTH 158 200
true true NORTH SOUTH 158 200
true true SOUTH SOUTH 158 200
true true SOUTH SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST EAST 158 200
true true EAST NORTH 158 200
true true NORTH WEST 158 200
true true WEST WEST 158 200
true true WEST NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH WEST 158 200
true true WEST NORTH 158 200
true true NORTH NORTH 158 200
true true NORTH WEST 158 200
true true WEST SOUTH 158 200
true true SOUTH EAST 158 200
true true EAST EAST 158 200
true true EAST SOUTH 158 200
true true SOUTH WEST 158 200
true true WEST WEST 158 200
true true WEST WEST 158 200
true true WEST WEST 158 200
true true WEST EAST 157 210
true true EAST SOUTH 157 210
true true SOUTH WEST 157 210
true true WEST WEST 157 210
true true WEST SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST EAST 156 220
true true EAST NORTH 156 220
true true NORTH EAST 156 220
true true EAST NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST EAST 156 220
true true EAST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST WEST 156 220
true true WEST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH NORTH 156 220
true true NORTH EAST 156 220
true true EAST WEST 156 220
true true WEST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH WEST 156 220
true true WEST EAST 156 220
true true EAST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH EAST 156 220
true true EAST NORTH 156 220
true true NORTH EAST 156 220
true true EAST EAST 156 220
true true EAST SOUTH 156 220
true true SOUTH NORTH 156 220
true true NORTH WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST WEST 156 220
true true WEST WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST NORTH 156 220
true true NORTH WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH NORTH 156 220
true true NORTH EAST 156 220
true true EAST SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST NORTH 156 220
true true NORTH EAST 156 220
true true EAST SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST WEST 156 220
true true WEST WEST 156 220
true true WEST NORTH 156 220
true true NORTH EAST 156 220
true true EAST EAST 156 220
true true EAST WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST EAST 156 220
true true EAST NORTH 156 220
true true NORTH EAST 156 220
true true EAST EAST 156 220
true true EAST SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH SOUTH 156 220
true true SOUTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH EAST 156 220
true true EAST SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST WEST 156 220
true true WEST WEST 156 220
true true WEST EAST 156 220
true true EAST EAST 156 220
true true EAST WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH EAST 156 220
true true EAST EAST 156 220
true true EAST EAST 156 220
true true EAST NORTH 156 220
true true NORTH WEST 156 220
true true WEST WEST 156 220
true true WEST EAST 156 220
true true EAST NORTH 156 220
true true NORTH WEST 156 220
true true WEST NORTH 156 220
true true NORTH SOUTH 156 220
true true SOUTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH NORTH 156 220
true true NORTH EAST 156 220
true true EAST WEST 156 220
true true WEST SOUTH 156 220
true true SOUTH WEST 156 220
true true WEST WEST 156 220
